username,reported_following,reported_followers,processed_following,processed_followers
satheeq,661,251,661,1
alpsencerozturk,704,124,704,1
rsltgy1,784,413,784,7
imARB_,0,0,0,0
AnticipationAI,0,0,0,0
bwinterrose,2155,9819,2155,48
outworksva,26,1,26,0
sportsfriscotx,501,126,501,0
ShanghaiYang,0,0,0,0
maarek_j,1622,661,1622,0
KVibhor,0,0,0,0
kshitizkhanal7,4499,2068,4499,5
linxins2,483,311,483,28
mohanrj1997,865,123,865,9
leastsquared_,7257,1304,7256,6
duyongka,522,114,522,9
Sohith_uv,0,0,0,0
ksp_winwin,6009,1883,6008,0
AlexReibman,0,0,0,0
multimindsdk,288,45,288,0
iver56,628,492,628,5
mdaworks,1683,19381,1683,1
sebirocs,921,295,921,0
amli_art,1721,15601,1721,27
tyyleai,674,1460,674,5
lambertoballan,909,1692,909,19
mirabelle_jones,2583,2116,2583,10
bitches_n_cream,321,30,0,0
omarelbachyr,707,41,707,2
HaowenAI,0,0,0,0
santiviquez,1123,2834,1123,23
bigdata,380,41976,380,67
manudeprada,993,344,992,2
C12s_AI,0,0,0,0
TheMarxJunior,0,0,0,0
PlotWorkspace,0,0,0,0
bulentmumay,1582,247947,1582,0
simonmaltman,1980,2524,1980,0
Denise62307960,0,0,0,0
jerrywliu,445,351,445,12
thisishubert,1959,152,1958,3
annotiqdata,33,4,33,0
trueYonas,0,0,0,0
michael_galkin,330,6851,330,137
emaros96,693,5150,693,107
jhuclsp,5763,7114,5763,255
krandiash,961,7472,961,190
_TradeCentric_,0,0,0,0
neuro_mosaic,29,2,29,0
TimBurrows1266,0,0,0,0
BitcoinBananaBY,0,0,0,0
BeuvingJordy,0,0,0,0
_yash_malik_,1354,71,1354,5
MElkton54569,0,0,0,0
PritishllM,0,0,0,0
xinw_ai,1016,5863,1016,100
Nilzkool,0,0,0,0
MitrevDane,0,0,0,0
Carol30270070,0,0,0,0
ai_ahmetkaya,1764,240,1764,2
AminTajgardoon,0,0,0,0
ds_gardner,1068,208,1068,1
TheCharlieton,0,0,0,0
sohaiba3579999,4031,61,4031,0
MaxWasserman1,0,0,0,0
timClicks,0,0,0,0
gpbatra,625,495,625,5
felixjaxon,2545,144,2545,3
